Provincia,Partido,Localidad,Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G
BUENOS AIRES,25 de Mayo,25 de Mayo,23408,1,1,0,1,1,1,1,1,1
BUENOS AIRES,25 de Mayo,Agustín Mosconi,280,0,0,0,0,0,0,1,0,0
BUENOS AIRES,25 de Mayo,Del Valle,899,1,0,0,0,1,0,0,1,1
BUENOS AIRES,25 de Mayo,Ernestina,145,1,0,0,0,0,0,0,0,0
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,547,0,0,0,0,0,1,0,0,0
BUENOS AIRES,25 de Mayo,Lucas Monteverde,63,0,0,0,0,0,1,0,0,0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,4524,0,1,0,0,0,1,1,1,1
BUENOS AIRES,25 de Mayo,Pedernales,1432,1,0,0,0,0,0,0,0,1
BUENOS AIRES,25 de Mayo,San Enrique,279,0,0,0,0,0,0,1,0,0
BUENOS AIRES,25 de Mayo,Valdés,579,0,0,0,0,0,0,1,0,1
BUENOS AIRES,9 de Julio,12 de Octubre,219,0,0,0,0,0,1,1,0,0
BUENOS AIRES,9 de Julio,9 de Julio,36494,1,1,1,1,0,1,1,1,1
BUENOS AIRES,9 de Julio,Alfredo Demarchi (Est. Facundo Quiroga),1853,1,0,0,0,0,0,1,1,1
BUENOS AIRES,Carlos Tejedor,Curarú,422,0,0,0,0,0,0,1,0,0
BUENOS AIRES,Carlos Tejedor,Timote,526,0,0,0,0,0,0,1,0,0
BUENOS AIRES,Carlos Tejedor,Tres Algarrobos (Est. Cuenca),3201,0,0,0,0,1,0,1,1,1
BUENOS AIRES,Carmen de Areco,Carmen de Areco,12775,1,1,1,1,0,1,1,1,1
BUENOS AIRES,Carmen de Areco,Pueblo Gouin,122,0,0,0,0,0,1,0,0,0
BUENOS AIRES,Carmen de Areco,Tres Sargentos,391,0,0,0,0,0,1,1,0,1
BUENOS AIRES,Castelli,Castelli,6859,1,1,0,1,1,1,1,1,1
BUENOS AIRES,Castelli,Centro Guerrero,114,0,0,0,1,0,1,0,0,0
BUENOS AIRES,Castelli,Cerro de la Gloria,107,0,0,0,1,0,0,0,1,0
BUENOS AIRES,Chacabuco,Castilla,689,0,0,0,0,0,1,1,0,0
BUENOS AIRES,Chacabuco,Chacabuco,38418,1,1,1,1,0,1,1,1,1
BUENOS AIRES,Chacabuco,Los Angeles,54,0,0,0,0,0,0,0,1,1
BUENOS AIRES,Chacabuco,O'Higgins,1206,1,0,0,1,0,1,1,1,1
BUENOS AIRES,General Juan Madariaga,General Juan Madariaga,18089,1,0,1,1,0,0,1,1,1
BUENOS AIRES,General La Madrid,General La Madrid,8073,1,0,1,1,0,1,1,1,1
BUENOS AIRES,General La Madrid,La Colina,663,0,0,0,0,0,0,1,0,0
BUENOS AIRES,General La Madrid,Las Martinetas,215,0,0,0,0,0,0,1,0,0
BUENOS AIRES,General La Madrid,Líbano,292,0,0,0,0,0,0,1,0,0
BUENOS AIRES,General La Madrid,Pontaut,68,0,0,0,0,0,0,0,1,0
BUENOS AIRES,General Las Heras,General Hornos,194,0,0,0,0,0,0,0,0,1
BUENOS AIRES,General Las Heras,General Las Heras (Est. Las Heras),11331,1,1,1,0,0,1,1,1,1
BUENOS AIRES,General Las Heras,La Choza,41,0,0,0,0,0,0,0,0,0
BUENOS AIRES,General Las Heras,Lozano,0,0,0,0,0,1,0,0,0,0
BUENOS AIRES,General Las Heras,Plomer,198,0,0,0,0,0,0,1,0,0
BUENOS AIRES,General Las Heras,Villars,1147,0,1,1,1,0,0,1,0,0
BUENOS AIRES,General Lavalle,Chacras de San Clemente,0,0,0,0,0,0,1,0,0,0
BUENOS AIRES,General Lavalle,General Lavalle,1827,0,1,0,0,1,1,1,1,1
BUENOS AIRES,General Lavalle,Pavón,942,0,0,0,1,0,1,0,1,1
BUENOS AIRES,La Plata,La Plata,207620,1,1,1,1,1,1,1,1,1
BUENOS AIRES,La Plata,La Providencia,0,0,0,0,0,0,0,0,0,0
BUENOS AIRES,La Plata,Lisandro Olmos,0,0,1,0,0,0,0,0,1,1
BUENOS AIRES,La Plata,Lomas de Copello,420,0,0,0,0,0,0,0,0,0
BUENOS AIRES,La Plata,Los Hornos,0,0,1,0,1,0,1,0,1,1
BUENOS AIRES,La Plata,Manuel B Gonnet,0,0,1,0,1,0,0,0,1,1
BUENOS AIRES,La Plata,Poblet,0,0,0,0,0,0,0,0,0,0
BUENOS AIRES,La Plata,Ringuelet,0,0,1,0,1,0,0,0,1,1
BUENOS AIRES,La Plata,Rufino De Elizalde,0,0,0,0,0,0,0,0,1,1
BUENOS AIRES,La Plata,ruta del sol,0,1,0,0,0,0,0,0,1,1
BUENOS AIRES,La Plata,ruta del sol,2312,1,0,0,0,0,0,0,1,1
BUENOS AIRES,La Plata,Tolosa,0,0,1,0,1,0,0,0,1,1
BUENOS AIRES,La Plata,Transradio,0,0,0,0,0,1,0,0,1,1
BUENOS AIRES,Necochea,Juan N. Fernández,2721,1,0,0,0,1,1,1,1,1
BUENOS AIRES,Necochea,Necochea - Quequén,84784,1,1,1,1,1,1,1,1,1
BUENOS AIRES,Necochea,Nicanor Olivera (Est. La Dulce),2131,1,0,1,0,0,1,1,1,0
BUENOS AIRES,Necochea,Ramón Santamarina,430,0,0,0,0,0,0,1,1,1
BUENOS AIRES,Olavarría,Blancagrande,65,0,0,0,0,0,0,0,0,0
BUENOS AIRES,Olavarría,Colonia Hinojo,3841,0,0,0,0,0,0,0,0,1
BUENOS AIRES,Olavarría,Colonia Nievas,10,0,0,0,0,0,0,0,0,0
BUENOS AIRES,Olavarría,Colonia San Miguel,902,0,0,0,0,0,0,0,0,0
BUENOS AIRES,Olavarría,Espigas,492,0,0,0,0,0,0,1,0,0
BUENOS AIRES,Olavarría,Hinojo,3841,1,0,0,0,1,1,1,1,1
BUENOS AIRES,Olavarría,Olavarría,89721,1,1,1,1,1,0,1,1,1
BUENOS AIRES,Olavarría,Recalde,385,0,0,0,0,0,0,1,0,0
BUENOS AIRES,Olavarría,Santa Luisa,40,0,0,0,0,0,0,0,1,0
BUENOS AIRES,Olavarría,Sierra Chica,4812,0,1,0,0,0,1,0,1,1
